, Movie 1, Movie 2, Movie 3, Movie 4, Movie 5, Movie 6, Movie 7, Movie 8, Movie 9, Movie 10, Movie 11, Movie 12, Movie 13, Movie 14, Movie 15, Movie 16, Movie 17, Movie 18, Movie 19, Movie 20, Movie 21, Movie 22, Movie 23, Movie 24, Movie 25, Movie 26, Movie 27, Movie 28, Movie 29, Movie 30
User 1, -1, Thu, Tue, Mon, -1, -1, -1, Tue, Sun, -1, Sat, Mon, Sat, Mon, Fri, Mon, -1, Tue, Mon, Thu, Thu, Thu, -1, -1, Sun, Sat, -1, Wed, Wed, Thu
User 2, Mon, Wed, Mon, Sat, Sat, Thu, -1, Mon, Fri, Thu, Fri, -1, Fri, Sat, Thu, Wed, -1, Sun, Wed, Thu, -1, Sun, -1, Mon, Mon, Fri, -1, Sun, Tue, Wed
User 3, Tue, Wed, Sat, Tue, Sat, Mon, -1, Thu, Wed, Thu, Fri, -1, Mon, Wed, Sun, Mon, Tue, Mon, Tue, -1, Tue, -1, Wed, Thu, Tue, Thu, Wed, Wed, -1, Sun
User 4, Mon, -1, Wed, -1, -1, Sun, Sat, Mon, Mon, Wed, -1, -1, -1, -1, -1, Sat, Fri, Wed, Thu, Sat, -1, Sun, Fri, Sat, Thu, Sat, Fri, Fri, Sat, Sun
User 5, Thu, Fri, Wed, Fri, Mon, Thu, Sat, Tue, Thu, Fri, Wed, Tue, -1, Sun, Fri, Mon, Sun, Mon, Sun, Mon, Fri, Fri, Mon, -1, Wed, Mon, Sat, -1, Wed, -1
User 6, Mon, -1, Tue, Sat, Fri, Fri, Mon, Sun, -1, Thu, Tue, Wed, Wed, Sat, Fri, Tue, Thu, Wed, Mon, -1, Thu, -1, Wed, Wed, -1, Wed, Sun, Thu, Sat, Mon
User 7, Thu, Tue, Sat, Fri, Sun, Sun, Fri, Wed, Mon, -1, Mon, -1, Fri, Sat, Tue, Sat, -1, -1, Mon, Thu, Tue, Sun, Sun, Tue, Wed, -1, Fri, Tue, Wed, Wed
User 8, -1, Sun, Fri, Sat, Fri, Thu, Thu, Tue, Sat, Wed, -1, Sat, -1, Fri, Mon, Thu, Wed, -1, Wed, Sat, -1, Sat, Fri, Tue, Fri, Sun, Thu, -1, Sun, Wed
User 9, Sat, Sun, Thu, Thu, Tue, Wed, Mon, Tue, Sat, Mon, Mon, Thu, Sun, Sun, -1, -1, Sun, -1, Tue, Sun, Wed, Wed, Tue, -1, Fri, Thu, Fri, Wed, Sun, Mon
User 10, Sun, -1, Tue, -1, Mon, Fri, Thu, Tue, Thu, Fri, -1, Thu, Thu, Fri, -1, Tue, Thu, Wed, Tue, Thu, Thu, Tue, Sun, Thu, Thu, Sun, Sat, Tue, -1, Mon
User 11, -1, Sun, -1, Sun, Fri, Thu, Tue, Thu, Thu, -1, Thu, Thu, Mon, Mon, Sun, -1, -1, Sun, Wed, Wed, Sun, -1, Tue, Sun, Mon, Fri, Sat, Sat, Tue, Thu
User 12, Sun, Tue, Sat, -1, Sat, -1, Wed, Wed, Sat, Tue, -1, Sat, Sun, Sun, Sat, Thu, Fri, Wed, Mon, -1, Thu, Wed, Fri, Sun, Thu, Thu, Wed, Mon, Wed, Mon
User 13, Mon, Tue, Fri, Sat, Fri, Thu, Mon, Sun, Thu, Wed, Thu, Thu, Wed, Sat, Sat, Mon, -1, -1, Mon, Mon, Thu, Tue, Sat, -1, Thu, Tue, -1, Sun, Wed, Wed
User 14, Sat, Fri, Mon, -1, Thu, Wed, Mon, -1, -1, Sun, Sun, Sat, Sun, Sat, Wed, -1, Wed, Sun, Tue, Fri, Sat, Sat, Wed, Sat, Mon, -1, Wed, Sat, Thu, Sun
User 15, Sat, Fri, Fri, Tue, Sat, -1, Mon, Sat, Fri, Mon, -1, -1, Wed, Sat, Fri, Wed, Thu, Tue, Fri, -1, Sun, Fri, Sat, Sat, Tue, Thu, -1, -1, Mon, Sun
User 16, Tue, Sat, Thu, Sun, Sat, Wed, Sun, -1, Mon, Thu, Tue, -1, Sat, Thu, Fri, Mon, Tue, Thu, Mon, Fri, Tue, Fri, Tue, -1, Tue, Sat, Thu, Tue, Sat, Sat
