 , Movie 1, Movie 2, Movie 3, Movie 4, Movie 5, Movie 6, Movie 7, Movie 8, Movie 9, Movie 10, Movie 11, Movie 12, Movie 13, Movie 14, Movie 15, Movie 16, Movie 17, Movie 18, Movie 19, Movie 20, Movie 21, Movie 22, Movie 23, Movie 24, Movie 25, Movie 26, Movie 27, Movie 28, Movie 29, Movie 30
User 1, -1, h, h, c, -1, -1, -1, v, h, -1, c, h, v, c, h, v, -1, h, v, h, h, c, -1, -1, c, c, -1, v, h, c
User 2, v, v, v, v, h, c, -1, v, h, c, v, -1, v, v, c, c, -1, h, c, c, -1, c, -1, c, h, v, -1, v, v, c
User 3, v, h, c, c, c, c, -1, h, c, v, v, -1, c, h, v, h, h, c, c, -1, v, -1, v, v, h, h, h, v, -1, v
User 4, v, -1, h, -1, -1, h, v, v, c, h, -1, -1, -1, -1, -1, h, h, c, h, h, -1, v, h, h, c, v, c, v, v, c
User 5, c, c, c, c, v, h, v, v, c, h, v, h, -1, c, h, v, c, v, h, h, v, c, v, -1, h, c, v, -1, h, -1
User 6, c, -1, c, h, v, c, v, v, -1, c, c, v, v, c, c, h, h, c, h, -1, h, -1, c, h, -1, h, h, h, c, c
User 7, v, h, v, c, c, v, c, c, v, -1, h, -1, h, h, v, c, -1, -1, v, c, h, c, c, c, v, -1, v, h, h, c
User 8, -1, h, c, h, h, v, h, h, v, c, -1, h, -1, h, c, c, h, -1, c, c, -1, v, c, v, h, h, c, -1, h, c
User 9, h, c, h, v, h, h, v, c, c, h, c, c, h, c, -1, -1, h, -1, v, c, c, v, h, -1, v, h, v, c, h, h
User 10, v, -1, v, -1, v, c, h, c, h, v, -1, v, v, h, -1, v, h, h, v, c, c, v, h, v, c, v, v, h, -1, c
User 11, -1, c, -1, h, h, h, v, v, c, -1, c, h, c, h, h, -1, -1, c, v, c, c, -1, h, v, c, c, h, c, c, c
User 12, h, v, h, -1, h, -1, c, v, v, v, -1, v, v, h, v, c, v, h, h, -1, c, c, h, c, v, h, h, v, c, v
User 13, h, c, v, v, c, c, c, h, c, c, v, h, v, v, h, c, -1, -1, v, h, v, v, c, -1, c, h, -1, c, v, v
User 14, v, c, v, -1, v, v, c, -1, -1, c, c, h, v, v, v, -1, v, v, v, c, v, v, v, v, c, -1, v, c, h, h
User 15, v, c, v, h, v, -1, h, v, c, c, -1, -1, h, c, c, h, c, h, v, -1, h, c, h, c, h, c, -1, -1, h, v
User 16, h, v, c, c, c, c, v, -1, h, h, v, -1, h, v, h, v, v, v, c, h, v, h, h, -1, h, c, v, v, h, c
User 17, v, v, -1, -1, h, c, -1, -1, v, h, -1, -1, v, v, h, v, c, -1, v, v, v, v, c, c, h, -1, v, h, h, h
User 18, h, h, h, h, h, c, h, h, v, v, -1, v, c, v, c, h, h, v, v, h, -1, v, h, c, v, v, c, h, -1, h
User 19, h, c, v, h, c, c, -1, -1, v, h, h, h, -1, h, v, v, -1, -1, v, c, c, v, h, v, -1, c, h, c, c, c
User 20, v, -1, h, v, -1, -1, h, -1, v, -1, h, v, c, c, h, h, -1, c, c, h, -1, c, v, c, -1, v, h, c, h, v
User 21, -1, c, c, c, h, c, v, v, v, h, c, v, c, v, c, v, c, -1, -1, h, -1, c, h, v, v, v, v, h, c, -1
User 22, c, c, h, -1, v, -1, v, c, v, h, h, h, h, h, c, v, -1, -1, h, c, c, v, h, -1, -1, h, v, v, v, -1
User 23, c, v, -1, c, v, -1, -1, v, -1, c, c, h, h, h, v, v, v, v, c, v, -1, -1, c, c, h, -1, c, h, c, c
User 24, c, v, v, -1, v, c, c, c, h, h, h, -1, v, h, v, h, c, v, -1, h, v, c, h, h, c, v, c, c, v, h
User 25, c, h, -1, c, v, -1, v, c, v, v, v, h, h, v, -1, v, h, h, h, h, h, -1, v, h, h, -1, v, c, c, v
User 26, v, v, -1, v, -1, h, v, -1, c, c, c, v, c, c, h, h, v, c, c, h, c, v, v, h, h, -1, c, c, v, -1
User 27, h, h, v, -1, h, v, v, h, h, -1, v, c, v, -1, h, h, -1, c, h, v, -1, v, v, v, -1, c, c, h, c, h
User 28, -1, -1, v, h, h, h, c, v, -1, h, -1, v, c, h, v, h, v, h, v, v, h, c, v, v, c, c, h, h, c, v
User 29, v, c, c, v, h, h, c, v, v, h, -1, c, h, v, v, c, -1, c, v, v, c, -1, c, h, h, c, h, -1, v, -1
User 30, c, h, c, c, v, c, h, c, h, h, h, c, -1, -1, v, v, v, v, c, v, v, v, c, v, c, h, c, c, c, h
User 31, v, h, v, h, c, v, v, c, v, c, c, v, -1, v, h, c, -1, v, h, v, c, v, c, c, v, h, v, v, h, -1
User 32, c, v, v, v, h, c, h, h, c, -1, c, h, v, h, v, h, v, c, h, v, h, v, -1, c, c, h, c, v, h, -1
User 33, h, v, c, v, h, c, c, h, h, c, c, c, c, -1, -1, h, v, h, -1, h, v, h, v, h, c, -1, v, c, v, c
User 34, -1, h, -1, -1, c, -1, c, c, v, h, c, c, h, h, v, c, v, v, -1, c, c, c, v, -1, c, v, c, c, c, h
User 35, v, -1, h, c, h, v, h, c, c, c, -1, c, v, v, -1, h, -1, v, -1, -1, v, c, c, c, v, h, v, -1, c, v
User 36, c, h, -1, c, h, v, h, c, c, v, v, v, h, v, v, -1, -1, -1, v, -1, -1, c, v, v, v, h, h, h, h, v
User 37, -1, v, -1, h, c, h, c, c, h, v, v, h, -1, c, c, h, h, v, h, h, h, c, -1, v, -1, v, c, c, c, -1
User 38, v, -1, v, h, c, v, h, -1, c, h, c, -1, v, v, c, c, c, c, h, v, v, c, c, -1, c, c, v, -1, -1, h
User 39, c, -1, v, -1, h, v, v, -1, c, v, h, v, h, -1, -1, h, v, v, h, c, v, v, v, h, c, h, c, v, v, c
User 40, -1, c, v, c, h, -1, c, v, -1, v, h, v, c, v, v, v, h, h, v, v, v, h, c, v, h, v, c, c, c, c
