, Movie 1, Movie 2, Movie 3, Movie 4, Movie 5, Movie 6, Movie 7, Movie 8, Movie 9, Movie 10, Movie 11, Movie 12, Movie 13, Movie 14, Movie 15, Movie 16, Movie 17, Movie 18, Movie 19, Movie 20, Movie 21, Movie 22, Movie 23, Movie 24, Movie 25, Movie 26, Movie 27, Movie 28, Movie 29, Movie 30
User 1, -1, 4, 1, 5, -1, -1, -1, 1, 3, -1, 5, 5, 1, 3, 3, 3, -1, 4, 2, 2, 2, 4, -1, -1, 3, 4, -1, 2, 4, 1
User 2, 4, 5, 2, 3, 3, 4, -1, 5, 3, 2, 2, -1, 5, 5, 4, 1, -1, 2, 4, 5, -1, 2, -1, 3, 1, 5, -1, 5, 2, 2
User 3, 4, 2, 5, 4, 1, 5, -1, 3, 5, 2, 1, -1, 1, 1, 1, 1, 3, 3, 3, -1, 4, -1, 5, 4, 5, 1, 2, 1, -1, 3
User 4, 5, -1, 2, -1, -1, 2, 4, 3, 2, 3, -1, -1, -1, -1, -1, 5, 3, 3, 3, 3, -1, 2, 2, 2, 2, 5, 3, 2, 5, 5
User 5, 4, 3, 3, 3, 5, 3, 3, 4, 5, 2, 3, 2, -1, 5, 3, 2, 2, 3, 1, 5, 4, 5, 2, -1, 3, 5, 1, -1, 5, -1
User 6, 2, -1, 3, 3, 3, 3, 4, 2, -1, 1, 5, 5, 5, 3, 2, 5, 1, 4, 3, -1, 5, -1, 1, 3, -1, 4, 4, 5, 1, 2
User 7, 4, 1, 4, 4, 1, 4, 5, 2, 2, -1, 4, -1, 3, 2, 3, 1, -1, -1, 2, 3, 2, 5, 1, 3, 4, -1, 4, 3, 1, 4
User 8, -1, 5, 5, 3, 3, 3, 3, 3, 1, 2, -1, 5, -1, 5, 5, 4, 4, -1, 5, 5, -1, 3, 1, 3, 2, 1, 4, -1, 1, 3
User 9, 1, 2, 3, 1, 5, 3, 3, 1, 2, 5, 1, 2, 3, 4, -1, -1, 4, -1, 5, 3, 3, 2, 3, -1, 1, 4, 3, 1, 5, 3
User 10, 5, -1, 1, -1, 3, 3, 4, 1, 1, 2, -1, 5, 5, 1, -1, 3, 2, 3, 3, 1, 4, 1, 4, 1, 4, 5, 2, 3, -1, 1
User 11, -1, 5, -1, 1, 5, 2, 4, 2, 4, -1, 5, 5, 4, 2, 1, -1, -1, 4, 4, 1, 4, -1, 3, 4, 1, 2, 4, 2, 5, 1
User 12, 5, 4, 4, -1, 3, -1, 5, 5, 5, 3, -1, 5, 5, 4, 4, 4, 2, 5, 1, -1, 1, 4, 1, 5, 3, 5, 4, 3, 5, 5
User 13, 1, 1, 4, 5, 4, 3, 5, 5, 5, 4, 2, 1, 3, 3, 1, 1, -1, -1, 5, 1, 2, 3, 2, -1, 4, 3, -1, 5, 5, 4
User 14, 3, 5, 4, -1, 1, 2, 4, -1, -1, 4, 3, 3, 1, 2, 4, -1, 1, 5, 4, 2, 4, 1, 5, 4, 1, -1, 3, 1, 5, 3
User 15, 3, 5, 3, 4, 4, -1, 4, 4, 2, 1, -1, -1, 1, 1, 5, 5, 3, 5, 5, -1, 2, 2, 5, 1, 3, 4, -1, -1, 5, 4
User 16, 3, 3, 5, 3, 2, 2, 5, -1, 4, 4, 5, -1, 2, 5, 1, 5, 3, 1, 5, 4, 1, 3, 4, -1, 4, 4, 4, 2, 4, 4
User 17, 1, 1, -1, -1, 4, 4, -1, -1, 1, 1, -1, -1, 4, 5, 2, 5, 4, -1, 1, 2, 4, 2, 4, 2, 2, -1, 5, 4, 5, 3
User 18, 4, 3, 3, 2, 1, 5, 3, 4, 5, 2, -1, 2, 2, 1, 3, 2, 2, 1, 3, 5, -1, 4, 5, 2, 1, 1, 2, 1, -1, 4
User 19, 4, 3, 5, 5, 4, 4, -1, -1, 4, 4, 5, 2, -1, 4, 2, 2, -1, -1, 5, 3, 2, 3, 1, 2, -1, 2, 5, 1, 2, 1
User 20, 2, -1, 2, 5, -1, -1, 1, -1, 2, -1, 5, 4, 5, 5, 5, 5, -1, 1, 2, 5, -1, 2, 4, 1, -1, 2, 2, 3, 3, 4
User 21, -1, 2, 1, 2, 3, 5, 4, 1, 2, 3, 5, 5, 1, 3, 2, 3, 1, -1, -1, 3, -1, 5, 1, 2, 5, 5, 4, 4, 2, -1
User 22, 2, 4, 4, -1, 4, -1, 4, 5, 5, 4, 2, 2, 4, 2, 2, 4, -1, -1, 1, 1, 4, 5, 1, -1, -1, 5, 2, 2, 5, -1
User 23, 5, 1, -1, 5, 5, -1, -1, 5, -1, 3, 4, 5, 3, 1, 2, 4, 4, 3, 1, 4, -1, -1, 3, 1, 5, -1, 1, 5, 3, 5
User 24, 5, 4, 2, -1, 2, 1, 3, 2, 1, 2, 2, -1, 5, 2, 3, 5, 1, 4, -1, 2, 4, 2, 2, 1, 3, 2, 5, 2, 5, 4
User 25, 3, 1, -1, 4, 2, -1, 4, 1, 5, 3, 4, 1, 1, 4, -1, 4, 3, 1, 2, 5, 2, -1, 5, 5, 2, -1, 1, 3, 1, 2
User 26, 1, 5, -1, 3, -1, 2, 4, -1, 4, 2, 5, 2, 4, 1, 4, 5, 1, 3, 1, 2, 5, 3, 1, 5, 2, -1, 2, 2, 4, -1
User 27, 4, 4, 3, -1, 4, 5, 3, 4, 3, -1, 1, 5, 4, -1, 1, 5, -1, 5, 1, 3, -1, 3, 4, 3, -1, 3, 2, 3, 2, 5
User 28, -1, -1, 4, 2, 3, 2, 1, 4, -1, 1, -1, 5, 5, 4, 4, 3, 3, 5, 3, 4, 1, 3, 2, 1, 4, 3, 2, 4, 2, 1
User 29, 3, 2, 4, 2, 2, 2, 4, 1, 3, 3, -1, 3, 3, 1, 5, 3, -1, 2, 3, 4, 3, -1, 3, 5, 5, 5, 4, -1, 5, -1
User 30, 2, 3, 5, 4, 1, 3, 3, 2, 3, 1, 2, 2, -1, -1, 5, 1, 2, 4, 5, 3, 4, 5, 1, 1, 4, 5, 3, 1, 3, 5
User 31, 3, 5, 4, 5, 1, 3, 3, 3, 4, 1, 2, 3, -1, 4, 2, 1, -1, 1, 3, 2, 5, 4, 4, 3, 5, 2, 2, 4, 4, -1
User 32, 5, 4, 5, 4, 1, 5, 5, 4, 4, -1, 4, 1, 1, 1, 1, 1, 2, 5, 5, 4, 5, 2, -1, 2, 3, 2, 1, 3, 1, -1
User 33, 5, 3, 4, 4, 2, 1, 3, 1, 3, 3, 5, 4, 2, -1, -1, 1, 1, 4, -1, 2, 2, 1, 5, 5, 2, -1, 2, 1, 4, 2
User 34, -1, 5, -1, -1, 1, -1, 5, 1, 1, 5, 3, 2, 2, 2, 5, 3, 4, 3, -1, 3, 3, 3, 4, -1, 3, 1, 5, 2, 2, 5
User 35, 4, -1, 5, 4, 2, 2, 3, 1, 1, 5, -1, 2, 5, 4, -1, 2, -1, 3, -1, -1, 5, 1, 2, 1, 5, 5, 1, -1, 5, 5
User 36, 3, 2, -1, 5, 5, 1, 5, 2, 1, 5, 2, 4, 3, 4, 3, -1, -1, -1, 2, -1, -1, 2, 4, 3, 4, 5, 2, 1, 3, 4
User 37, -1, 4, -1, 3, 1, 4, 5, 4, 3, 3, 1, 1, -1, 4, 5, 4, 3, 2, 4, 1, 3, 3, -1, 5, -1, 5, 2, 3, 5, -1
User 38, 3, -1, 1, 4, 2, 3, 4, -1, 5, 3, 3, -1, 3, 2, 4, 3, 1, 4, 2, 1, 5, 4, 3, -1, 1, 4, 3, -1, -1, 4
User 39, 1, -1, 5, -1, 1, 2, 3, -1, 2, 5, 3, 1, 5, -1, -1, 4, 1, 4, 3, 4, 4, 2, 5, 2, 3, 1, 2, 1, 2, 1
User 40, -1, 1, 1, 1, 1, -1, 4, 1, -1, 3, 2, 3, 5, 3, 4, 2, 5, 4, 2, 2, 3, 5, 4, 2, 3, 4, 5, 5, 3, 2
