0, Title, Name
1, Movie 1, The Shawshank Redemption
2, Movie 2, The Godfather
3, Movie 3, The Godfather: Part II
4, Movie 4, The Dark Knight
5, Movie 5, 12 Angry Men
6, Movie 6, Schindler's List
7, Movie 7, The Lord of the Rings: The Return of the King
8, Movie 8, Pulp Fiction
9, Movie 9, The Good the Bad and the Ugly
10, Movie 10, Fight Club
11, Movie 11, The Lord of the Rings: The Fellowship of the Ring
12, Movie 12, Forrest Gump
13, Movie 13, The Empire Strikes Back
14, Movie 14, Inception
15, Movie 15, The Lord of the Rings: The Two Towers
16, 1, Movie 16, One Flew Over the Cuckoo's Nest
17, Movie 17, Goodfellas
18, Movie 18, The Matrix
19, 1, Movie 19, Seven Samurai
20, Movie 20, City of God
21, Movie 21, Se7en
22, Movie 22, Star Wars: Episode IV - A New Hope
23, Movie 23, The Silence of the Lambs
24, Movie 24, It's a Wonderful Life
25, Movie 25, Life Is Beautiful
26, Movie 26, The Usual Suspects
27, Movie 27, Spirited Away
28, Movie 28, Saving Private Ryan
29, Movie 29, Léon: The Professional
30, Movie 30, The Green Mile
